set_num,url,vector
2,/sports/mvball/2017-18/boxscores/20180202_0ap1.xml,"[-0.2, 1.2, 1.8, 1.6, 0.5, -0.5, -2.0, -2.5, -4.0, -5.5]"
3,/sports/mvball/2017-18/boxscores/20180202_0ap1.xml,"[-1.0, -2.0, 1.8, 4.4, 2.6, 1.6, -0.2, -1.6, -0.6, 0.8]"
4,/sports/mvball/2017-18/boxscores/20180202_0ap1.xml,"[-1.8, -1.2, -1.8, -2.4, -2.2, -2.0, -3.5, -2.0, -4.0, -4.5]"
1,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[0.2, -2.4, -2.6, -1.6, 1.5, 2.5, 3.5, 3.25, 2.5, 4.0]"
2,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[-0.6, 0.0, -1.0, 0.0, 2.5, 5.5, 7.0, 6.5, 6.5, 6.5]"
3,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[0.6, 1.2, 2.6, 5.6, 5.8, 7.6, 5.8, 2.4, 1.5, 0.5]"
4,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[1.0, 4.0, 6.2, 4.0, 4.2, 2.0, -0.2, 3.0, 1.5, 2.5]"
1,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[0.2, -2.4, -2.6, -1.6, 1.5, 2.5, 3.5, 3.25, 2.5, 4.0]"
2,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[-0.6, 0.0, -1.0, 0.0, 2.5, 5.5, 7.0, 6.5, 6.5, 6.5]"
3,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[0.6, 1.2, 2.6, 5.6, 5.8, 7.6, 5.8, 2.4, 1.5, 0.5]"
4,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[1.0, 4.0, 6.2, 4.0, 4.2, 2.0, -0.2, 3.0, 1.5, 2.5]"
1,/sports/mvball/2017-18/boxscores/20180210_joqy.xml,"[-0.5, 1.5, 2.5, 5.5, 6.0, 6.5, 9.0, 10.0, 9.5, 10.0]"
2,/sports/mvball/2017-18/boxscores/20180210_joqy.xml,"[1.4, 0.5, -1.0, 1.5, 5.5, 6.0, 7.5, 9.0, 8.5, 9.0]"
3,/sports/mvball/2017-18/boxscores/20180210_joqy.xml,"[0.2, 2.8, 2.5, 2.0, 3.0, 2.5, 3.5, 6.5, 8.5, 7.5]"
1,/sports/mvball/tournament/boxscores/20180210_joqy.xml,"[-0.5, 1.5, 2.5, 5.5, 6.0, 6.5, 9.0, 10.0, 9.5, 10.0]"
2,/sports/mvball/tournament/boxscores/20180210_joqy.xml,"[1.4, 0.5, -1.0, 1.5, 5.5, 6.0, 7.5, 9.0, 8.5, 9.0]"
3,/sports/mvball/tournament/boxscores/20180210_joqy.xml,"[0.2, 2.8, 2.5, 2.0, 3.0, 2.5, 3.5, 6.5, 8.5, 7.5]"
1,/sports/mvball/2017-18/boxscores/20180214_71fb.xml,"[-0.2, -1.2, -2.2, -2.4, -3.4, -2.5, -3.0, -2.5, -3.5, -4.0]"
2,/sports/mvball/2017-18/boxscores/20180214_71fb.xml,"[-0.2, 0.8, -2.2, -4.0, -3.4, -4.0, -4.5, -4.5, -4.5, -3.5]"
3,/sports/mvball/2017-18/boxscores/20180214_71fb.xml,"[0.2, 2.0, 2.2, 2.0, 4.6, 3.2, 3.0, 1.6, 0.6, 0.8]"
4,/sports/mvball/2017-18/boxscores/20180214_71fb.xml,"[0.6, -0.4, -1.4, -1.2, -1.4, 0.0, -0.5, -1.5, -3.0, -4.5]"
1,/sports/mvball/2017-18/boxscores/20180217_uw3q.xml,"[-2.2, -5.6, -3.8, -5.2, -6.2, -6.0, -6.5, -5.0, -5.0, -5.0]"
2,/sports/mvball/2017-18/boxscores/20180217_uw3q.xml,"[-1.4, 0.0, -0.6, -3.0, -4.5, -3.0, -5.5, -6.0, -5.5, -6.0]"
3,/sports/mvball/2017-18/boxscores/20180217_uw3q.xml,"[0.2, 0.8, 0.2, -1.6, -2.6, -2.5, -3.5, -2.0, -2.5, -4.0]"
1,/sports/mvball/tournament/boxscores/20180217_uw3q.xml,"[-2.2, -5.6, -3.8, -5.2, -6.2, -6.0, -6.5, -5.0, -5.0, -5.0]"
2,/sports/mvball/tournament/boxscores/20180217_uw3q.xml,"[-1.4, 0.0, -0.6, -3.0, -4.5, -3.0, -5.5, -6.0, -5.5, -6.0]"
3,/sports/mvball/tournament/boxscores/20180217_uw3q.xml,"[0.2, 0.8, 0.2, -1.6, -2.6, -2.5, -3.5, -2.0, -2.5, -4.0]"
1,/sports/mvball/2017-18/boxscores/20180217_x1d6.xml,"[1.5, 4.5, 5.5, 8.5, 10.5, 12.5, 13.333333333333334, 13.666666666666666, 14.0, 13.666666666666666]"
2,/sports/mvball/2017-18/boxscores/20180217_x1d6.xml,"[0.2, 0.0, -0.5, 0.5, 3.0, 4.0, 5.5, 5.5, 7.5, 7.0]"
3,/sports/mvball/2017-18/boxscores/20180217_x1d6.xml,"[-1.0, 0.4, 2.2, 1.6, 1.0, -1.6, -0.5, 1.5, 2.0, 3.5]"
1,/sports/mvball/tournament/boxscores/20180217_x1d6.xml,"[1.5, 4.5, 5.5, 8.5, 10.5, 12.5, 13.333333333333334, 13.666666666666666, 14.0, 13.666666666666666]"
2,/sports/mvball/tournament/boxscores/20180217_x1d6.xml,"[0.2, 0.0, -0.5, 0.5, 3.0, 4.0, 5.5, 5.5, 7.5, 7.0]"
3,/sports/mvball/tournament/boxscores/20180217_x1d6.xml,"[-1.0, 0.4, 2.2, 1.6, 1.0, -1.6, -0.5, 1.5, 2.0, 3.5]"
1,/sports/mvball/2017-18/boxscores/20180223_jku3.xml,"[-0.6, -3.2, -4.2, -5.2, -2.6, -2.8, -0.2, -2.8, -3.0, -1.0]"
2,/sports/mvball/2017-18/boxscores/20180223_jku3.xml,"[-2.2, -3.2, -4.6, -3.2, -3.8, -3.6, -2.6, 0.0, 0.0, 0.5]"
3,/sports/mvball/2017-18/boxscores/20180223_jku3.xml,"[-2.6, -4.0, -5.4, -3.2, -5.0, -4.0, -2.0, -2.5, -3.5, -4.5]"
